SalePrice,Gr Liv Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Garage Cars,Garage Area,Lot Area,Lot Frontage,Neighborhood,MS Zoning,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Type,Kitchen Qual,Bsmt Qual,Central Air,House Style
215000,1656,6,5,1960,1960,2.0,528.0,31770,141.0,NAmes,RL,1,0,7,2,Attchd,TA,TA,Y,1Story
105000,896,5,6,1961,1961,1.0,730.0,11622,80.0,NAmes,RH,1,0,5,0,Attchd,TA,TA,Y,1Story
172000,1329,6,6,1958,1958,1.0,312.0,14267,81.0,NAmes,RL,1,1,6,0,Attchd,Gd,TA,Y,1Story
244000,2110,7,5,1968,1968,2.0,522.0,11160,93.0,NAmes,RL,2,1,8,2,Attchd,Ex,TA,Y,1Story
189900,1629,5,5,1997,1998,2.0,482.0,13830,74.0,Gilbert,RL,2,1,6,1,Attchd,TA,Gd,Y,2Story
195500,1604,6,6,1998,1998,2.0,470.0,9978,78.0,Gilbert,RL,2,1,7,1,Attchd,Gd,TA,Y,2Story
213500,1338,8,5,2001,2001,2.0,582.0,4920,41.0,StoneBr,RL,2,0,6,0,Attchd,Gd,Gd,Y,1Story
191500,1280,8,5,1992,1992,2.0,506.0,5005,43.0,StoneBr,RL,2,0,5,0,Attchd,Gd,Gd,Y,1Story
236500,1616,8,5,1995,1996,2.0,608.0,5389,39.0,StoneBr,RL,2,0,5,1,Attchd,Gd,Gd,Y,1Story
189000,1804,7,5,1999,1999,2.0,442.0,7500,60.0,Gilbert,RL,2,1,7,1,Attchd,Gd,TA,Y,2Story
175900,1655,6,5,1993,1994,2.0,440.0,10000,75.0,Gilbert,RL,2,1,7,1,Attchd,TA,Gd,Y,2Story
185000,1187,6,7,1992,2007,2.0,420.0,7980,,Gilbert,RL,2,0,6,0,Attchd,TA,Gd,Y,1Story
180400,1465,6,5,1998,1998,2.0,393.0,8402,63.0,Gilbert,RL,2,1,7,1,Attchd,TA,Gd,Y,2Story
171500,1341,7,5,1990,1990,2.0,506.0,10176,85.0,Gilbert,RL,1,1,5,1,Attchd,Gd,Gd,Y,1Story
212000,1502,8,5,1985,1985,2.0,528.0,6820,,StoneBr,RL,1,1,4,0,Attchd,Gd,Gd,Y,1Story
538000,3279,8,5,2003,2003,3.0,841.0,53504,47.0,StoneBr,RL,3,1,12,1,BuiltIn,Ex,Gd,Y,2Story
164000,1752,8,7,1988,2005,2.0,492.0,12134,152.0,Gilbert,RL,2,0,8,0,Basment,TA,Gd,Y,1.5Fin
394432,1856,9,2,2010,2010,3.0,834.0,11394,88.0,StoneBr,RL,1,1,8,1,Attchd,Ex,Ex,Y,1Story
141000,864,4,5,1951,1951,2.0,400.0,19138,140.0,Gilbert,RL,1,0,4,0,Detchd,TA,TA,Y,1Story
210000,2073,6,6,1978,1988,2.0,500.0,13175,85.0,NWAmes,RL,2,0,7,2,Attchd,TA,Gd,Y,1Story
190000,1844,6,6,1977,1977,2.0,546.0,11751,105.0,NWAmes,RL,2,0,7,1,Attchd,TA,Gd,Y,1Story
170000,1173,7,6,1974,1974,2.0,528.0,10625,85.0,NWAmes,RL,2,0,6,2,Attchd,Gd,Gd,Y,SFoyer
216000,1674,7,5,2000,2000,2.0,663.0,7500,,Somerst,FV,2,1,7,0,Attchd,Gd,Gd,Y,2Story
149000,1004,6,7,1970,1970,2.0,480.0,11241,,NAmes,RL,1,0,5,1,Attchd,TA,TA,Y,1Story
149900,1078,5,6,1971,2008,2.0,500.0,12537,,NAmes,RL,1,1,6,1,Attchd,TA,TA,Y,1Story
142000,1056,5,6,1968,1968,1.0,304.0,8450,65.0,NAmes,RL,1,0,6,1,Attchd,TA,TA,Y,1Story
126000,882,4,5,1970,1970,2.0,525.0,8400,70.0,NAmes,RL,1,0,4,0,Attchd,TA,TA,Y,1Story
115000,864,4,5,1971,1971,0.0,0.0,10500,70.0,NAmes,RL,1,0,5,1,,TA,TA,Y,1Story
184000,1337,7,5,1999,1999,2.0,511.0,5858,26.0,NAmes,RH,2,0,5,1,Attchd,Gd,Gd,Y,1Story
96000,987,6,5,1971,1971,1.0,264.0,1680,21.0,BrDale,RM,1,1,5,0,Detchd,TA,TA,Y,2Story
105500,1092,5,5,1971,1971,1.0,320.0,1680,21.0,BrDale,RM,1,1,6,0,Detchd,TA,TA,Y,2Story
88000,1092,6,5,1971,1971,1.0,264.0,1680,21.0,BrDale,RM,1,1,6,0,Detchd,TA,TA,Y,2Story
127500,1069,6,5,1977,1977,2.0,440.0,4043,53.0,NPkVill,RL,2,0,4,1,Attchd,TA,Gd,Y,1Story
149900,1456,6,6,1975,1975,2.0,440.0,2280,24.0,NPkVill,RL,2,1,6,1,Attchd,Gd,TA,Y,2Story
120000,836,7,6,1975,1975,1.0,308.0,2280,24.0,NPkVill,RL,1,0,4,0,Attchd,TA,Gd,Y,1Story
146000,1456,6,5,1978,1978,2.0,440.0,2280,24.0,NPkVill,RL,2,1,7,1,Attchd,TA,Gd,Y,2Story
376162,2334,9,5,2009,2010,3.0,751.0,12858,102.0,NridgHt,RL,2,1,10,1,Attchd,Ex,Ex,Y,2Story
306000,1704,8,5,2007,2008,3.0,772.0,11478,98.0,NridgHt,RL,2,0,7,1,Attchd,Gd,Ex,Y,1Story
395192,1940,9,5,2009,2010,3.0,606.0,10159,83.0,NridgHt,RL,2,1,8,1,Attchd,Ex,Ex,Y,1Story
290941,1544,8,5,2009,2010,3.0,868.0,12883,94.0,NridgHt,RL,2,0,7,0,Attchd,Gd,Gd,Y,1Story
220000,1541,7,5,2005,2005,2.0,532.0,12182,95.0,NridgHt,RL,2,0,7,1,Attchd,Gd,Gd,Y,1Story
275000,1698,9,5,2005,2005,3.0,730.0,11520,90.0,NridgHt,RL,2,0,7,1,Attchd,Ex,Ex,Y,1Story
259000,1822,8,5,2005,2006,3.0,678.0,14122,79.0,NridgHt,RL,2,0,8,1,Attchd,Ex,Ex,Y,1Story
214000,1535,7,5,2004,2004,2.0,532.0,10171,70.0,NridgHt,RL,2,0,7,0,Attchd,Gd,Gd,Y,1Story
611657,2364,9,5,2009,2010,3.0,820.0,12919,100.0,NridgHt,RL,2,1,11,2,Attchd,Ex,Ex,Y,1Story
224000,1358,7,5,2009,2010,2.0,484.0,6371,44.0,NridgHt,RL,2,0,6,1,Attchd,Gd,Gd,Y,1Story
500000,2696,9,5,2003,2004,3.0,958.0,14300,110.0,NridgHt,RL,2,1,10,2,Attchd,Ex,Ex,Y,1Story
320000,2250,8,5,2002,2002,3.0,756.0,13650,105.0,NridgHt,RL,2,1,7,1,Attchd,Gd,Gd,Y,2Story
319900,1752,9,5,2005,2005,2.0,576.0,7658,61.0,NridgHt,RL,2,0,6,1,Attchd,Ex,Ex,Y,1Story
205000,1370,8,5,2006,2006,2.0,484.0,7132,41.0,NridgHt,RL,2,0,6,1,Attchd,Gd,Gd,Y,1Story
175500,1626,7,5,2003,2003,2.0,474.0,2628,36.0,NridgHt,RL,2,1,6,0,BuiltIn,Gd,Gd,Y,2Story
199500,1324,6,5,2005,2005,2.0,430.0,18494,100.0,Gilbert,RL,2,0,6,0,Attchd,Gd,Gd,Y,1Story
160000,1145,7,5,2006,2006,2.0,437.0,3203,43.0,Blmngtn,RL,2,0,6,0,Attchd,Gd,Gd,Y,1Story
